"","name","postalCode","stars","avgPerNight","description"
"1","Grand Hotel Reykjavík","105 Reykjavík","4","$197","Grand Hotel Reykjavik is a first-class hotel for businessmen, conference guests and tourists who insist on the very best."
"2","Hilton Nordica","108 Reykjavík","4","$212","The contemporary Hilton Nordica is only 5 minutes' walk from the outdoor park, Laugardalur and from the city center."
"3","Hotel Borg","101 Reykjavík","4","$347","The heart of Reykjavík is home to Iceland's most elegant Art Deco hotel overlooking the historic Austurvollur."
"4","Hotel Plaza","101 Reykjavík","4","$136","Located in the city centre, Plaza Hotel gives you the luxury and the location to enjoy Iceland to the fullest."
"5","Hotel Island","108 Reykjavík","3","$169","Ideal for business travellers, groups and families, the Park Inn Island is located within walking distance of the city centre."
"6","Hotel Holt","101 Reykjavík","4","$202","Make sure you choose the best when you select a Hotel in Iceland. We offer our visitor only the best in modern comfort."
"7","Reykjavik Centrum","101 Reykjavík","4","$190","This hotel is set on one of Reykjavik’s oldest streets, Adalstraeti, 200 metres from Reykjavik Art Museum."
"8","Fosshotel Lind","105 Reykjavik","3","$126","This hotel is a 1-minute walk from Hlemmur Bus Terminal and Reykjavik’s main street, Laugavegur."
"9","Fosshotel Baron","101 Reykjavik","3","$139","Fosshotel Baron is situated near Reykjavik's vibrant and dynamic nightlife, the famous shopping street Laugavegur."
"10","Hotel Odinsve","101 Reykjavik","4","$155","Hotel Odinsve is 400 metres from Laekjartorg Square in central Reykjavik. It offers free Wi-Fi internet."
"11","Icelandair Natura","101 Reykjavík","4","$176","Icelandair Hotel Reykjavik Natura is a 220-room four-star accommodation located next to Reykjavík airport."
"12","Best Western","105 Reykjavik","3","$176","Comfortable 3* hotel near the centre of Reykjavik with 79 rooms, Steakhouse and snack bar."
"13","Radisson Blu Saga","107 Reykjavik","4","$229","Located just a 10-minute walk from Reykjavik’s city center, this hotel offers free spa access and free Wi-Fi."
"14","Radisson Blu 1919","101 Reykjavik","4","$234","A unique four star hotel in the heart of Reykjavik, the Hotel is a superbly designed lifestyle hotel."
"15","Hotel Skjaldbreid","101 Reykjavik","4","$241","This hotel is situated on the main shopping street, Laugavegur. All rooms include free wired internet."
"16","101 Hotel","101 Reykjavik","4","$380","This sleek and modern boutique hotel is located in central Reykjavik, next to the Icelandic Opera House."
"17","Hotel Arnarhvoll","101 Reykjavik","3","$202","Arnarhvoll and its surroundings boast an extensive choice of services and amenities for business and holiday."
"18","Hotel Bjork","105 Reykjavik","3","$245","Hotel Björk is a superior 3 star hotel situated within a few minutes walk from the heart of Reykjavík city."
"19","Hotel Fron","101 Reykjavik","3","$115","Conveniently located on Laugavegur shopping street central Reykjavik, Hotel Frón offers free Wi-Fi."
"20","Hotel Klopp","101 Reykjavik","3","$241","Centerhotel Klöpp offers you the best of Reykjavik with in walking distance, located in down town Reykjavík."
"21","Hotel Hafnafjordur","220 Hafnafirdi","3","$96","Hotel Hafnarfjordur is a new apartment hotel with spacious studio- and family apartments for up to six persons."
"22","Icelandair Marina","101 Reykjavik","0","$268","Icelandair Hotel Reykjavik Marina is a new and stylish hotel in the heart of Reykjavik with a unique character."
"23","Hotel Viking","220 Hafnafjordur","3","$77","This Viking-themed hotel is housed in the same building as the West Nordic Culture House, in the seaside town Hafnarfjordur."
"24","Luxury Apartments","101 Reykjavik","3","$769","These quiet design apartments are located just off Reykjavik’s main shopping street, Laugavegur."
"25","Hotel Thingholt","101 Reykjavik","4","$249","This stylish and original hotel is just a 2-minute walk from Reykjavik’s main shopping street, Laugavegur."
"26","Black Pearl Apt","101 Reykjavik","5","$680","These luxury apartments in central Reykjavik are just under a quarter of a mile from Old Reykjavik Harbour."
"27","Arctic Comfort","108 Reykjavik","3","$83","This affordable hotel is a short walk from Iceland’s largest swimming pool, Laugardalslaug and Kringlan."
"28","Hotel Orkin","105 Reykjavik","3","$103","This hotel is a short walk from the city center, guests enjoy free Wi-Fi access and 24-hour free tea and coffee."
"29","Reykjavik Lights","108 Reykjavik","3","$235","This designer hotel is just over half a mile from Laugardalur Family Park and Laugardalslaug swimming pool."
"30","Alda Hotel","101 Reykjavik","4","$186","Located on Laugavegur shopping street in central Reykjavik, this hotel offers modern rooms with a flat-screen TV."
"31","Hostel Village","105 Reykjavik","2","$101","This family-owned hostel is 100 metres from Reykjavík’s main shopping street, Laugavegur. Wi-Fi and parking are free."
"32","City Center Hotel","101 Reykjavik","3","$180","City Center Hotel is a new three star hotel, located in the heart of Reykjavik with 30 modern rooms. "
"33","Room With A View","101 Reykjavík","4","$100","Located in Reykjavík’s fashionable 101 district, these stylish apartments have flat-screen TVs, CD/DVD players and modern kitchens. The building’s rooftop terrace offers a hot tub and panoramic views of the city and Faxaflói Bay."
"34","Reykjavik Residence","101 Reykjavík","3","$301","Reykjavik Residence combines hotel services with self-catering apartments that offer flat-screen TVs, free Wi-Fi and modern kitchen facilities. An iPod docking station is found in all apartments and iPads can be rented on site."
"35","Hlemmur Square","105 Reykjavík","4","$250","Hlemmur Square is set in a 1930s art deco building on Laugavegur, Reykjavík's main shopping street. It offers modern hotel and hostel rooms with free Wi-Fi access. Two communal kitchens are available to hostel guests."
"36","Metropolitan Hotel","101 Reykjavík","3","$193","Metropolitan Hotel lies on a quiet street, just a 2-minute walk from Ingolfstorg Square. It offers free in-room Wi-Fi and functional rooms close to Reykjavik’s shopping, restaurants and cultural attractions."
"37","Hotel Klettur","105 Reykjavík","3","$218","Hotel Klettur is right next to Reykjavik’s main shopping street, Laugavegur. It offers modern guest rooms with free internet access and a flat-screen satellite TV. A buffet breakfast is served every morning in the dining room"
"38","Studio Apartments","108 Reykjavík","2","$125","Studio Apartments offers accommodation with free Wi-Fi access and private kitchen facilities. Reykjavík Zoo and Laugardalslaug public swimming pool are within 10 minutes’ walk. BSÍ bus terminal is 4 km away."
"39","The Capital-Inn","105 Reykjavík","2","$143","This budget hotel is within 15 minutes’ walk of Reykjavik’s Kringlan Shopping Centre and Perlan viewing dome. Free Wi-Fi and free private parking, plus bicycle and scooter rentals. Communal laundry facilities are also available."
"40","Hotel Gardur","101 Reykjavík","2","$159","Central Reykjavik is 10 minutes’ walk from this hotel, which is set on the University of Iceland’s campus. It offers a communal kitchen and laundry room, free Wi-Fi and 24-hour reception. A buffet breakfast is served daily."
"41","Geo Hótel Grindavík","240 Grindavík","3","$129","Offering a restaurant and 24-hour reception, the modern Hotel Lava is in Grindavík, 4 km from the Blue Lagoon geothermal spa. WiFi and parking are free."
"42","Hotel Berg","230 Keflavik","3","$109","This family-run hotel is next to central Keflavik’s picturesque marina, 3.5 km from Keflavik Airport. It offers free Wi-Fi, free airport transfer and breakfast from 04:00."
"43","Icelandair Hotel","230 Keflavik","4","$143","This four-star accommodation is only a short drive from the Blue Lagoon spa and the town’s exciting Viking attraction and a mere five minutes from Keflavik International Airport."
"44","Airport Hotel Smári","235 Keflavik","3","$150","This hotel is only 100 metres from Keflavík International Airport and 25 minutes’ drive from the Blue Lagoon geothermal spa. Wi-Fi and parking are free."
"45","Northern Light Inn","240 Grindavik","0","$165","This family-owned hotel provides free WiFi and a fireplace lounge with panoramic views. Free shuttle buses run to and from the Blue Lagoon 1 km away. Keflavík Airport is 22 km away. "
"46","Hotel Grasteinn","260 Keflavik","3","$117","Opened in July 2014, this family-owned hotel is situated 10 minutes’ drive from Keflavik Airport, It offers free parking and rooms with free WiFi access and a flat-screen TV. Viking World Museum is 3 km away."
"47","Health Hotel","235 Keflavik","4","$118","This family-run health hotel is 3 km from Keflavík International Airport. It offers free gym and infrared sauna access, along with free Wi-Fi.A flat-screen TV, DVD player and seating area are standard at Icelandic Health Hotel."
"48","Guesthouse Alex","230 Keflavik","0","$116","This family-owned guest house, located 2 minutes’ drive from Keflavik International Airport, offers a free airport shuttle. Guests can enjoy free access to a fully equipped kitchen and free Wi-Fi in the lobby."
"49","Hotel Húsafell","311 Húsafell","4","$188","Featuring a golf course and outdoor hot tubs, this contemporary hotel offers unique opportunities to relax among the lush landscape of Húsafell. Free WiFi access is available."
"50","Hotel Hamar","310 Borgarnes","3","$143","This hotel offers relaxing outdoor hot tubs, an 18-hole golf course and activities such as whale watching and snowmobile safaris. Reykjavik and Snæfellsnes National Park are a 1-hour drive away."
"51","Hotel Framnes","350 Grundarfjordur","3","$134","The hotel is situated on the northern coast of the Snaefellsnes peninsula in West Iceland. It is small, cosy hotel located on the waterfront near the harbour and enjoys fantastic views."
"52","Hotel Glymur","301 Hvalfjordur","4","$293","This design hotel is located by the Whale Fjord, 50 km from central Reykjavík. It offers free Wi-Fi, outdoor hot tubs with fjord views and rooms with flat-screen TVs"
"53","Fosshotel Reykholt","320 Reykholt","3","$117","Recently reopened after extensive renovations. The hotel is a cultural theme hotel, based on Icelandic literature, Norse mythology and classical music. Some include a bathtub and a seating area."
"54","Hotel Hellissandur","360 Hellisandur","3","$117","Situated on western Iceland’s Snaefellsnes Peninsula, this hotel offers views of the surrounding Snaefellsjokull Glacier and fjords. Guests can enjoy free Wi-Fi and an on-site restaurant with bar."
"55","Hotel Borgarnes","310 Borgarnes","3","$110","Set 200 metres from the Borgarfjördur Fjord, this property offers views of Hafnarfjall Mountain. Brakarey island’s Icelandic Settlement Centre is within 10 minutes’ walk."
"56","Guesthouse Hvítá","311 Bær","2","$95","Gistiheimilið Hvita is located in Borgarnes, overlooking the Hvita River. Free WiFi access is available. At Guesthouse Hvita you will find a garden with BBQ facilities and a hot tub."
"57","Hotel Isafjordur","400 Isafjordur","3","$167","Situated in central Isafjördur, on Silfurtorg Square, this hotel offers a restaurant and bar and panoramic views of the fjord and surrounding mountains. Guests can enjoy free in-room Wi-Fi and free parking."
"58","Fosshotel Westfjords","450 Patreksfjordur","3","$125","This hotel, opened in June 2013, is situated along the coast in Patreksfjordur, a fishing village in Iceland’s Westfjords. It offers an à la carte restaurant with a bar and daily breakfast buffet."
"59","Hotel Latrabjarg","615 Patreksfjordur","3","$110","Situated in Vestfirdir, the Western Fjords of Iceland, this family-run hotel is 23 km from the bird cliffs of Látrabjarg. It offers free Wi-Fi and an on-site restaurant with bar."
"60","Gamla Gistihusid","400 Isafjordur","0","$142","Centrally located in the town of Isafjordur, Gamla Guesthouse offers rooms with shared facilities. Some have free Internet access. Isafjordur Airport, is a 10-minute drive from the guest house."
"61","Hotel Bjarkalundur","380 Berufjarðarvatn","0","$125","Set at the foot of Mount Vadalfjöll in the Westfjords, Hótel Bjarkalundur offers a guest TV lounge and traditional Icelandic food. Wi-Fi and parking are free."
"62","Malarhorn Guesthouse","520 Drangsnes","0","$100","Located in Drangsnes and featuring in-room coffee/tea facilities and free Wi-Fi, this guesthouse offers versatile accommodation."
"63","Hotel West","459 Patreksfjörður","0","$95","The new Hotel West in Patreksfjörður – on the top floor of the old historic general store building, now completely renovated in 2014. Located on the seaside."
"64","Fisherman Guesthouse","430 Suðureyri","0","$130","This guest house is located in the fishing village of Sudureyri on Iceland’s Westfjords peninsula. It offers a seasonal on-site seafood restaurant and bar.."
"65","Hotel Reynihlid","660 Reynihlid","4","$167","Hotel Reynihlid is the leading full service hotel in the Lake Myvatn region. The hotel has 41 comfortable rooms, ""a la cart"" restaurant and is located in the heart of the area that offers regional dishes such as Arctic char fish or Icelandic lamb. Vatnajökull Park is 90 km away."
"66","Hotel Kea","600 Akureyri","4","$133","Located in the heart of Akureyri, gateway to the rich natural splendor of northeast Iceland, Hotel Kea has been welcoming guests since 1944 with the same high standards of elegance, quality, service and comfort which would be expected of one of Iceland’s well-established hotels."
